InventoryId,Store,City,Brand,Description,Size,onHand,Price,startDate
1_HARDERSFIELD_58,1,HARDERSFIELD,58,Gekkeikan Black & Gold Sake,750mL,8,12.99,01-01-2024
1_HARDERSFIELD_60,1,HARDERSFIELD,60,Canadian Club 1858 VAP,750mL,7,10.99,01-01-2024
1_HARDERSFIELD_62,1,HARDERSFIELD,62,Herradura Silver Tequila,750mL,6,36.99,01-01-2024
1_HARDERSFIELD_63,1,HARDERSFIELD,63,Herradura Reposado Tequila,750mL,3,38.99,01-01-2024
1_HARDERSFIELD_72,1,HARDERSFIELD,72,No. 3 London Dry Gin,750mL,6,34.99,01-01-2024
1_HARDERSFIELD_75,1,HARDERSFIELD,75,Three Olives Tomato Vodka,750mL,18,14.99,01-01-2024
1_HARDERSFIELD_77,1,HARDERSFIELD,77,Three Olives Espresso Vodka,750mL,7,14.99,01-01-2024
1_HARDERSFIELD_79,1,HARDERSFIELD,79,Three Olives Loopy Vodka,750mL,2,14.99,01-01-2024
1_HARDERSFIELD_115,1,HARDERSFIELD,115,Belvedere Vodka,Liter,5,27.99,01-01-2024
1_HARDERSFIELD_120,1,HARDERSFIELD,120,Tarantula Azul Tequila Gift,750mL,11,13.99,01-01-2024
1_HARDERSFIELD_126,1,HARDERSFIELD,126,Grey Goose Vodka,Liter,17,29.99,01-01-2024
1_HARDERSFIELD_165,1,HARDERSFIELD,165,Gentleman Jack Gift Pack,750mL,0,26.99,01-01-2024
1_HARDERSFIELD_171,1,HARDERSFIELD,171,Gentleman Jack,1.75L,12,49.99,01-01-2024
1_HARDERSFIELD_175,1,HARDERSFIELD,175,1800 Anejo Tequila,750mL,6,41.99,01-01-2024
1_HARDERSFIELD_178,1,HARDERSFIELD,178,Wild Turkey Russell's RSV,750mL,24,26.99,01-01-2024
1_HARDERSFIELD_192,1,HARDERSFIELD,192,Milagro Anejo Tequila,750mL,2,35.99,01-01-2024
1_HARDERSFIELD_211,1,HARDERSFIELD,211,Cold River Gin,750mL,6,29.99,01-01-2024
1_HARDERSFIELD_233,1,HARDERSFIELD,233,Tullamore Dew 12 Yr Old,750mL,11,42.99,01-01-2024
1_HARDERSFIELD_247,1,HARDERSFIELD,247,Gran Patron Platinum Tequil,750mL,1,199.99,01-01-2024
1_HARDERSFIELD_254,1,HARDERSFIELD,254,DeKuyper Root Beer Schnapps,Liter,13,10.99,01-01-2024
1_HARDERSFIELD_261,1,HARDERSFIELD,261,Svedka Citron Vodka,Liter,14,12.99,01-01-2024
1_HARDERSFIELD_273,1,HARDERSFIELD,273,Sauza Extra Gold Tequila,1.75L,29,21.99,01-01-2024
1_HARDERSFIELD_281,1,HARDERSFIELD,281,Kamora Coffee Gift Pack,750mL,1,9.99,01-01-2024
1_HARDERSFIELD_283,1,HARDERSFIELD,283,Milagro Tequila Reposado SBR,750mL,4,57.99,01-01-2024
1_HARDERSFIELD_284,1,HARDERSFIELD,284,Milagro Tequila Anejo SBR,750mL,2,77.99,01-01-2024
1_HARDERSFIELD_294,1,HARDERSFIELD,294,Old Mexico Gold Tequila,Liter,28,8.49,01-01-2024
1_HARDERSFIELD_305,1,HARDERSFIELD,305,Crown Royal Canadian Whisky,Liter,0,27.99,01-01-2024
1_HARDERSFIELD_311,1,HARDERSFIELD,311,The Glenlivet 12 Yr Gift Pk,750mL,8,41.99,01-01-2024
1_HARDERSFIELD_323,1,HARDERSFIELD,323,Tequila Rose Strawberry Gift,750mL,6,13.99,01-01-2024
1_HARDERSFIELD_344,1,HARDERSFIELD,344,Punt e Mes Sweet Vermouth,750mL,3,19.99,01-01-2024
1_HARDERSFIELD_356,1,HARDERSFIELD,356,Carolans Irish Cr Gift Set,750mL,0,11.49,01-01-2024
1_HARDERSFIELD_361,1,HARDERSFIELD,361,Effen Cucumber Vodka,750mL,10,19.99,01-01-2024
1_HARDERSFIELD_366,1,HARDERSFIELD,366,Crown Royal w/2 Glasses,750mL,2,21.99,01-01-2024
1_HARDERSFIELD_376,1,HARDERSFIELD,376,Aperol Liqueur,750mL,7,28.99,01-01-2024
1_HARDERSFIELD_381,1,HARDERSFIELD,381,Baileys Irish Cream w/4 Glss,750mL,7,18.99,01-01-2024
1_HARDERSFIELD_384,1,HARDERSFIELD,384,Ardbeg Corryvreckan Scotch,750mL,8,69.99,01-01-2024
1_HARDERSFIELD_388,1,HARDERSFIELD,388,Smirnoff 80 Proof,Liter,25,14.49,01-01-2024
1_HARDERSFIELD_403,1,HARDERSFIELD,403,Kahlua Midnight,Liter,6,23.99,01-01-2024
1_HARDERSFIELD_408,1,HARDERSFIELD,408,Wild Turkey American Honey,750mL,57,17.99,01-01-2024
1_HARDERSFIELD_415,1,HARDERSFIELD,415,Jose Cuervo Especial,Liter,27,20.99,01-01-2024
1_HARDERSFIELD_419,1,HARDERSFIELD,419,Absolut Citron,Liter,2,19.99,01-01-2024
1_HARDERSFIELD_425,1,HARDERSFIELD,425,Hennessy Paradis,750mL,1,799.99,01-01-2024
1_HARDERSFIELD_426,1,HARDERSFIELD,426,Crystal Head Vodka,50mL,48,7.99,01-01-2024
1_HARDERSFIELD_435,1,HARDERSFIELD,435,Il Tramonto Limoncello,750mL,8,15.99,01-01-2024
1_HARDERSFIELD_438,1,HARDERSFIELD,438,Licor 43 Vanilla Liqueur,750mL,11,18.99,01-01-2024
1_HARDERSFIELD_443,1,HARDERSFIELD,443,St Germain Liqueur,750mL,14,33.99,01-01-2024
1_HARDERSFIELD_450,1,HARDERSFIELD,450,Vincent Van Gogh Double Esp,750mL,7,24.99,01-01-2024
