InventoryId,Store,City,Brand,Description,Size,onHand,Price,endDate
1_HARDERSFIELD_58,1,HARDERSFIELD,58,Gekkeikan Black & Gold Sake,750mL,11,12.99,31-12-2024
1_HARDERSFIELD_62,1,HARDERSFIELD,62,Herradura Silver Tequila,750mL,7,36.99,31-12-2024
1_HARDERSFIELD_63,1,HARDERSFIELD,63,Herradura Reposado Tequila,750mL,7,38.99,31-12-2024
1_HARDERSFIELD_72,1,HARDERSFIELD,72,No. 3 London Dry Gin,750mL,4,34.99,31-12-2024
1_HARDERSFIELD_75,1,HARDERSFIELD,75,Three Olives Tomato Vodka,750mL,7,14.99,31-12-2024
1_HARDERSFIELD_77,1,HARDERSFIELD,77,Three Olives Espresso Vodka,750mL,18,14.99,31-12-2024
1_HARDERSFIELD_79,1,HARDERSFIELD,79,Three Olives Loopy Vodka,750mL,7,14.99,31-12-2024
1_HARDERSFIELD_115,1,HARDERSFIELD,115,Belvedere Vodka,Liter,35,27.99,31-12-2024
1_HARDERSFIELD_126,1,HARDERSFIELD,126,Grey Goose Vodka,Liter,36,29.99,31-12-2024
1_HARDERSFIELD_159,1,HARDERSFIELD,159,Glenmorangie Original VAP,750mL + 2/,8,34.99,31-12-2024
1_HARDERSFIELD_171,1,HARDERSFIELD,171,Gentleman Jack,1.75L,24,49.99,31-12-2024
1_HARDERSFIELD_175,1,HARDERSFIELD,175,1800 Anejo Tequila,750mL,10,41.99,31-12-2024
1_HARDERSFIELD_178,1,HARDERSFIELD,178,W Turkey Russell's RSV 10 Yr,750mL,6,26.99,31-12-2024
1_HARDERSFIELD_192,1,HARDERSFIELD,192,Milagro Anejo Tequila,750mL,5,35.99,31-12-2024
1_HARDERSFIELD_200,1,HARDERSFIELD,200,Luxardo Maraschino Liqueur,750mL,3,29.99,31-12-2024
1_HARDERSFIELD_211,1,HARDERSFIELD,211,Cold River Gin,750mL,7,29.99,31-12-2024
1_HARDERSFIELD_233,1,HARDERSFIELD,233,Tullamore Dew 12 Yr Old,750mL,11,42.99,31-12-2024
1_HARDERSFIELD_254,1,HARDERSFIELD,254,DeKuyper Root Beer Schnapps,Liter,11,10.99,31-12-2024
1_HARDERSFIELD_261,1,HARDERSFIELD,261,Svedka Citron Vodka,Liter,8,12.99,31-12-2024
1_HARDERSFIELD_271,1,HARDERSFIELD,271,Wild Shot Silver Mezcal,750mL,5,35.99,31-12-2024
